1108020,2020-12-16 00:06:01.292881+00,2020-12-16 00:06:01.292896+00,,,LHOKNGA,,,1108,
1108021,2020-12-16 00:06:01.295699+00,2020-12-16 00:06:01.295713+00,,,LEUPUNG,,,1108,
1108030,2020-12-16 00:06:01.29851+00,2020-12-16 00:06:01.298525+00,,,INDRAPURI,,,1108,
1108031,2020-12-16 00:06:01.301482+00,2020-12-16 00:06:01.301497+00,,,KUTA COT GLIE,,,1108,
1108040,2020-12-16 00:06:01.304055+00,2020-12-16 00:06:01.30407+00,,,SEULIMEUM,,,1108,
1108041,2020-12-16 00:06:01.30704+00,2020-12-16 00:06:01.307067+00,,,KOTA JANTHO,,,1108,
1108042,2020-12-16 00:06:01.310044+00,2020-12-16 00:06:01.310059+00,,,LEMBAH SEULAWAH,,,1108,
1108050,2020-12-16 00:06:01.312648+00,2020-12-16 00:06:01.312671+00,,,MESJID RAYA,,,1108,
1108060,2020-12-16 00:06:01.315144+00,2020-12-16 00:06:01.315158+00,,,DARUSSALAM,,,1108,
1108061,2020-12-16 00:06:01.317709+00,2020-12-16 00:06:01.317723+00,,,BAITUSSALAM,,,1108,
1108070,2020-12-16 00:06:01.320416+00,2020-12-16 00:06:01.320431+00,,,KUTA BARO,,,1108,
1108080,2020-12-16 00:06:01.323078+00,2020-12-16 00:06:01.323092+00,,,MONTASIK,,,1108,
1108081,2020-12-16 00:06:01.325515+00,2020-12-16 00:06:01.325529+00,,,BLANG BINTANG,,,1108,
1108090,2020-12-16 00:06:01.327998+00,2020-12-16 00:06:01.328012+00,,,INGIN JAYA,,,1108,
1108091,2020-12-16 00:06:01.330475+00,2020-12-16 00:06:01.330487+00,,,KRUENG BARONA JAYA,,,1108,
1108100,2020-12-16 00:06:01.333455+00,2020-12-16 00:06:01.333469+00,,,SUKA MAKMUR,,,1108,
1108101,2020-12-16 00:06:01.336171+00,2020-12-16 00:06:01.336185+00,,,KUTA MALAKA,,,1108,
